,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
266,2011-10-11 04:36:45,1318288005.0,dis,33.0,44.42013129102843,919.2100220000001,-32.957716503338474,77.37784779436691,32.39,13.99,1.46,1.48,11.33,19.11,6.89,12.35,21.21,68569999999.99999,68569999999.99999,11.38,0.87,1.71,7.22,1.71,6730000000.0,7.22,4560000000.0,2.36,10.90,6.70,3520000000.0,1.90,13250000000.0,1.07,21.40,68569999999.99999,1.30,7.37,66.60,49020000.0,3.50,2.80,45370000.0,outperform
267,2012-03-16 04:36:14,1331852774.0,dis,43.47,90.24070021881836,1795.1500239999998,30.92868218102034,59.312018037798026,36.49,16.51,1.95,2.15,12.13,19.73,6.97,13.76,22.08,90580000000.0,90580000000.0,12.79,1.13,2.21,9.10,2.21,7780000000.0,9.10,4970000000.0,2.63,12.40,0.60,3770000000.0,2.05,14390000000.0,1.11,20.26,7610000000.0,1.34,7.78,66.80,37680000.0,3.70,2.10,38230000.0,outperform
268,2012-06-16 03:34:07,1339797847.0,dis,47.09,106.0831509846827,1805.089966,31.65364861258127,74.42950237210144,40.16,16.87,2.03,2.25,12.46,20.07,7.14,14.11,22.71,96630000000.0,96630000000.0,13.61,1.22,2.33,9.43,2.33,7780000000.0,9.43,5170000000.0,2.79,21.30,6.10,3730000000.0,2.09,16030000000.000002,1.14,20.93,7470000000.0,1.14,7.78,67.10,48010000.0,4.60,2.70,43190000.0,outperform
269,2012-11-12 03:46:06,1352672166.0,dis,47.06,105.95185995623633,1106.410034,-19.30434461366338,125.25620456989971,34.11,15.04,3.31,3.52,13.44,20.96,7.54,15.17,23.57,142690000000.0,142690000000.0,12.16,1.16,3.38,13.15,3.38,7780000000.0,13.15,5680000000.0,3.13,14.40,3.40,3390000000.0,1.21,14310000000.0,1.07,14.20,7970000000.0,1.17,7.75,67.80,35910000.0,4.70,2.00,39700000.0,outperform
270,2013-02-06 07:03:38,1360114418.0,dis,54.29,137.5929978118162,817.369995,-40.3853856953979,177.9783835072141,34.78,17.35,2.26,2.41,13.44,21.25,7.64,15.17,23.57,107420000000.0,107420000000.0,14.06,1.38,2.54,9.79,2.54,8860000000.0,9.79,5680000000.0,3.13,14.40,3.40,3390000000.0,1.91,14600000000.0,1.07,22.34,7970000000.0,1.13,7.75,67.80,35960000.0,4.10,2.00,35860000.0,outperform
271,2013-05-08 15:31:47,1368007307.0,dis,65.0,184.46389496717723,1154.050049,-15.82973563968158,200.2936306068588,40.25,20.93,2.78,2.90,13.07,20.74,7.19,14.71,23.95,131240000000.00002,131240000000.00002,16.64,1.47,3.06,12.04,3.06,8860000000.0,12.04,5600000000.0,3.10,5.60,5.20,3210000000.0,1.78,17460000000.0,0.99,22.79,7380000000.0,1.09,7.35,64.80,39370000.0,5.10,2.20,37220000.0,outperform
272,2013-08-07 21:54:11,1375892651.0,dis,65.91,188.44638949671767,1064.800049,-22.33915531404305,210.7855448107607,38.37,19.97,2.76,2.87,13.64,21.19,7.40,15.43,24.42,132770000000.00002,132770000000.00002,16.73,1.58,3.03,11.69,3.03,8860000000.0,11.69,5970000000.0,3.30,32.40,9.60,3950000000.0,2.19,16940000000.000002,1.12,23.38,7720000000.0,1.05,7.31,64.70,34970000.0,5.00,1.90,35700000.0,outperform
273,2004-12-16 23:49:05,1103221145.0,dks,34.11,0.0,1588.849976,0.0,0.0,1.69,33.67,0.95,6.36,2.95,5.22,6.47,21.72,35.032,1650000000.0,2140000000.0000002,18.85,0.97,1.19,17.45,1.19,407740000.0,17.45,52990000.0,1.013,38.00,15.60,28810000.0,0.59,454780000.0,1.492,5.55,109900000.0,1.922,35.65,70.30,5930000.0,12.861,19.00,5980000.0,underperform
274,2005-02-05 05:40:57,1107562257.0,dks,35.79,4.925241864555848,1084.560059,-31.73930356027523,36.664545424831076,1.69,35.33,0.97,6.50,2.95,5.22,6.47,21.72,35.032,1740000000.0,2170000000.0,19.77,0.99,1.21,17.75,1.21,407740000.0,17.75,52990000.0,1.01,38.00,15.60,28810000.0,0.59,454780000.0,1.492,5.55,24650000.0,1.686,42.87,68.46,5290000.0,10.971,19.09,5550000.0,outperform
275,2013-05-18 11:04:29,1368855269.0,dks,52.1,52.74113163295222,2098.47998,32.07540118312593,20.665730449826285,1.02,22.55,1.10,4.06,4.98,8.97,11.12,18.06,47.98,6110000000.0,6110000000.0,15.74,1.21,1.05,9.41,1.05,1840000000.0,9.41,290710000.0,2.31,16.80,12.00,345210000.0,2.81,16270000.0,1.60,12.90,438280000.0,1.15,0.99,105.50,6320000.0,4.60,6.40,6790000.0,outperform
276,2004-02-15 07:47:33,1076811453.0,dltr,32.8,0.0,1419.040039,0.0,0.0,0.234,21.04,1.33,3.96,6.20,10.21,14.24,20.56,25.138,3780000000.0,3940000000.0,0.00,0.99,1.36,15.04,1.36,847960000.0,15.04,179500000.0,1.559,25.60,17.20,67140000.0,0.58,226890000.0,2.334,8.41,231790000.0,1.723,6.20,87.11,3930000.0,2.627,3.64,3740000.0,underperform
277,2005-05-09 20:07:41,1115649461.0,dltr,23.9,-27.13414634146341,1325.76001,-6.573459975501087,-20.560686365962322,0.242,15.11,0.82,2.27,5.77,9.39,10.89,16.85,27.424,2610000000.0,2520000000.0,11.83,0.83,0.80,5.95,0.80,1110000000.0,5.95,180250000.0,1.58,1.50,11.60,317810000.0,2.91,281750000.0,3.295,10.301,276490000.0,1.537,6.14,95.00,4030000.0000000005,1.779,3.94,5050000.0,underperform
278,2011-11-18 21:54:52,1321633492.0,dltr,75.96,131.58536585365854,2075.0,46.225613299978214,85.35975255368032,16.72,21.07,1.49,5.88,7.24,11.47,18.89,30.42,50.26,9030000000.0,9030000000.0,16.34,1.04,1.45,10.31,1.45,2089999999.9999998,10.31,451600000.0,3.61,21.70,11.90,545400000.0,4.47,265500000.0,2.84,12.98,9030000000.0,0.24,2.76,91.40,4890000.0,3.50,4.70,6030000.0,outperform
279,2012-10-12 04:10:18,1349995218.0,dltr,43.28,31.951219512195138,1102.349976,-22.3172041870765,54.26842369927164,17.35,19.28,1.55,7.10,7.57,12.05,21.10,33.93,29.81,9850000000.0,9850000000.0,15.03,1.05,1.41,9.75,1.41,2380000000.0,9.75,527700000.00000006,2.25,25.60,10.50,379800000.0,1.65,264300000.0,2.28,6.61,707100000.0,0.16,2.86,89.80,3950000.0,1.60,2.00,4110000.0000000005,outperform
280,2012-11-04 04:51:10,1351984870.0,dltr,39.59,20.70121951219514,1136.76001,-19.89232306643886,40.593542578634,17.35,17.63,1.33,6.11,7.57,12.05,21.10,33.93,29.81,9000000000.0,9000000000.0,14.04,0.89,1.29,8.91,1.29,2380000000.0,8.91,527700000.00000006,2.25,25.60,10.50,379800000.0,1.65,264300000.0,2.28,6.61,707100000.0,0.20,2.86,89.80,4420000.0,1.20,2.30,3950000.0,outperform
281,2013-02-06 16:16:24,1360147584.0,dltr,39.78,21.280487804878064,817.369995,-42.39979334367464,63.6802811485527,17.18,15.97,1.27,5.85,8.16,12.12,21.19,38.76,30.69,9040000000.0,9040000000.0,14.10,0.92,1.27,8.76,1.27,2380000000.0,8.76,578600000.0,2.49,48.70,7.80,222400000.0,0.98,264300000.0,2.01,6.77,681200000.0,0.15,2.86,89.80,4190000.0000000005,1.20,2.20,5080000.0,outperform
282,2013-05-12 21:32:54,1368374574.0,dlx,39.01,0.0,883.919983,0.0,0.0,141.64,11.63,1.29,4.24,11.30,20.48,13.68,42.89,30.05,2570000000.0,2570000000.0,10.13,1.41,1.69,6.82,1.69,990540000.0,6.82,171090000.0,3.36,4.10,2.50,72860000.0,1.43,656930000.0,1.18,9.15,243550000.0,1.55,1.08,87.70,4470000.0,10.10,10.10,4019999.9999999995,underperform
283,2004-10-10 12:41:31,1097392291.0,dnr,26.56,101.51745068285281,1448.390015,5.63785389120118,95.87959679165164,0.645,20.73,4.00,3.04,19.86,29.44,7.22,16.86,6.456,1460000000.0,1740000000.0,16.29,1.86,4.80,7.54,4.80,227050000.0,7.54,72050000.0,1.281,20.90,16.80,27940000.0,0.51,308300000.0,1.064,8.681,207770000.0,0.264,35.14,90.98,1770000.0,4.194,4.96,2069999.9999999998,outperform
284,2005-01-06 11:51:53,1104992513.0,dnr,24.89,88.84673748103188,916.2999880000001,-33.16995888510498,122.01669636613687,0.446,18.76,3.97,2.91,20.50,30.06,7.46,16.66,6.47,1400000000.0,1500000000.0,12.70,1.72,4.09,6.47,4.09,227050000.0,6.47,75180000.0,1.327,20.90,16.80,125100000.0,2.22,223350000.0,1.488,8.88,202750000.0,0.399,35.06,89.98,1500000.0,4.55,4.09,1460000.0,outperform
285,2005-03-16 21:11:54,1110987714.0,dnr,33.8,156.4491654021244,1614.420044,17.747199967474632,138.70196543464976,0.446,25.47,5.16,3.78,20.50,30.07,7.46,16.66,6.47,1900000000.0,1990000000.0,15.94,1.38,5.43,8.58,5.43,227050000.0,8.58,75180000.0,1.33,20.90,16.80,125100000.0,2.22,223350000.0,1.488,8.88,202750000.0,0.377,2.94,90.47,1990000.0,4.241,3.64,1040000.0,outperform
286,2011-08-15 20:39:52,1313420992.0,dnr,16.0,21.396054628224586,1377.51001,0.4682438176343537,20.927810810590234,49.41,22.54,2.96,1.33,13.60,34.15,4.68,5.91,5.27,8279999999.999999,8279999999.999999,10.88,0.53,3.96,7.23,3.96,1330000000.0,7.23,284520000.0,0.71,91.50,21.10,210010000.0,0.53,2300000000.0,1.10,11.66,8279999999.999999,1.32,1.89,95.30,13610000.0,3.70,3.90,10020000.0,outperform
287,2013-03-17 08:49:10,1363490350.0,dnr,18.61,41.198786039453715,1846.339966,34.66220392426094,6.536582115192772,61.42,13.79,2.87,1.37,21.56,42.26,6.04,10.59,6.33,9970000000.0,9970000000.0,13.89,15.49,4.09,6.48,4.09,1900000000.0,6.48,525360000.0,1.35,118.00,1.50,98510000.0,0.27,3140000000.0,2.50,13.74,1410000000.0,2.31,2.03,93.40,19880000.0,4.80,6.00,19390000.0,outperform
288,2005-04-18 10:03:38,1113798818.0,dov,35.68,0.0,2114.48999,0.0,0.0,0.35,17.83,1.32,2.33,7.46,11.16,7.55,14.15,26.799,7270000000.0,8000000000.0,12.93,1.10,1.46,10.35,1.46,1890000000.0,10.35,409140000.0,2.00,40.90,24.40,357610000.0,1.76,1090000000.0,1.586,15.325,600880000.0,1.181,0.98,78.17,1920000.0,2.186,0.95,1850000.0,underperform
289,2005-03-07 09:58:51,1110169731.0,dow,56.42,49.615486608326705,1117.48999,39.558904738398844,10.05658186992786,1.026,19.24,1.30,4.26,7.27,11.10,6.78,27.24,42.199,53800000000.0,63200000000.0,9.60,1.84,1.57,13.93,1.57,5920000000.0,13.93,2800000000.0,2.93,61.70,23.10,3190000000.0,3.35,12590000000.0,1.512,12.876,2670000000.0,0.827,1.00,70.77,7560000.0,2.16,0.80,9490000.0,outperform
290,2011-08-14 21:55:46,1313339146.0,dow,29.43,-21.957040572792366,1275.920044,59.344607529244755,-81.30164810203712,80.23,13.49,0.61,1.72,5.02,7.74,4.17,12.59,50.48,52740000000.0,52740000000.0,8.29,1.44,0.92,7.19,0.92,7890000000.0,7.19,2520000000.0,2.18,63.90,17.80,2120000000.0,1.79,20090000000.0,1.83,17.09,52740000000.0,2.51,0.11,71.40,11960000.0,1.30,1.00,14000000.0,underperform
291,2012-01-08 13:18:21,1326008901.0,dow,30.32,-19.596923892866613,1264.670044,57.939639527422216,-77.53656342028883,77.97,12.42,0.60,1.77,5.34,7.55,4.23,13.46,52.17,53320000000.0,53320000000.0,10.87,1.16,0.89,7.21,0.89,7890000000.0,7.21,2820000000.0,2.44,50.80,17.40,2120000000.0,1.79,19600000000.0,1.69,17.05,3690000000.0,3.00,0.12,69.30,19920000.0,2.40,1.70,20850000.0,underperform
292,2013-05-11 10:07:02,1368247022.0,dps,49.0,94.13629160063392,1403.040039,39.923416265536794,54.21287533509713,124.92,16.34,1.65,4.43,10.53,18.24,7.77,28.14,28.83,12620000000.0,12620000000.0,14.71,2.04,2.10,9.62,2.10,3500000000.0,9.62,633000000.0,3.00,3.90,1.30,220000000.0,1.08,2800000000.0,1.06,10.98,843000000.0,0.22,0.29,99.80,6160000.0,4.50,3.40,6060000.0,outperform
293,2004-05-16 20:24:58,1084719298.0,dri,22.0,9.725685785536156,1553.280029,38.6151783335442,-28.889492548008043,0.52,15.77,0.72,2.71,4.90,7.24,8.63,19.09,28.448,3540000000.0,4170000000.0,13.50,1.09,0.86,6.9,0.86,1020000000.0,6.9,238860000.0,1.395,2.30,6.60,43870000.0,0.27,668910000.0,0.571,7.986,474720000.0,0.403,8.56,73.34,6420000.0,4.343,4.36,6050000.0,underperform
